遇到逆竟时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。	遇到逆境时，我们必须勇于面对，而且要愈挫愈勇，这样我们才能朝著成功之路前进。
每当我坐在这里时，夕阳的金光照映在怖告栏上的奖壮时，我们班为了直笛比赛、口号比赛和体操比赛每天晚上都留在学校练到七、八点的事情但比赛完后，大家的笑容笑得比天使更加的灿烂。	每当我坐在这里时，夕阳的金光照映在布告栏上的奖状时，我们班为了直笛比赛、口号比赛和体操比赛每天晚上都留在学校练到七、八点的事情但比赛完后，大家的笑容笑得比天使更加的灿烂。
在舞蹈教室里我看到我感觉到既安全又舒适，而且里面冲满了欢乐的笑声与忘不了的回忆，在这舞蹈教室里渡过的点点滴滴，总是让我不能忘记这美好的教室。	在舞蹈教室里我看到我感觉到既安全又舒适，而且里面充满了欢乐的笑声与忘不了的回忆，在这舞蹈教室里渡过的点点滴滴，总是让我不能忘记这美好的教室。
蒸饭箱如同百宝盆，每到中午，就会看钮扣弹开，发出「碰！」一声，像蒸气飞车般地冒出白烟，徐徐上升，同学们争先恐后地抢著拿便当，惊叹声此起彼落，这百宝盆竟变出这么多色、香、味聚全的好料。	蒸饭箱如同百宝盆，每到中午，就会看钮扣弹开，发出「碰！」一声，像蒸气飞车般地冒出白烟，徐徐上升，同学们争先恐后地抢著拿便当，惊叹声此起彼落，这百宝盆竟变出这么多色、香、味俱全的好料。
教室里的黑板每天都帮我们记录回家的功课让我们不怕忘记带东西，墙上的布置像是推动我们支住，班上的争饭机保存著我的食物让我不用担心饿著肚子，情奋的桌子让我们可以安心的写作业，角落的垃圾桶是一个清理垃圾的黑洞，不必单心教室会乱七八糟。	教室里的黑板每天都帮我们记录回家的功课让我们不怕忘记带东西，墙上的布置像是推动我们支柱，班上的蒸饭机保存著我的食物让我不用担心饿著肚子，勤奋的桌子让我们可以安心的写作业，角落的垃圾桶是一个清理垃圾的黑洞，不必担心教室会乱七八糟。
教室的每一个景物，都是可以让大家生活更上一层楼的景物，这些景物不必让我摔下去，而是可以向上爬的东西，以后这些用具会跟随著我们直到必业，我想这空间一定是推动我们的力量。	教室的每一个景物，都是可以让大家生活更上一层楼的景物，这些景物不必让我摔下去，而是可以向上爬的东西，以后这些用具会跟随著我们直到毕业，我想这空间一定是推动我们的力量。
当完三个学期的「垃圾」人，我体会到了这教事一隅的可怕之处，也知道倒圾圾叔叔的辛苦，下一次倒垃圾一定要向他道声谢谢。	当完三个学期的「垃圾」人，我体会到了这教室一隅的可怕之处，也知道倒垃圾叔叔的辛苦，下一次倒垃圾一定要向他道声谢谢。
每天下课，都可以见到我们班有人在教室后面靠近边边的地方在打球，致于是打什球呢？答案是每天都不一样咧。甚至还有人天兵到爬进教室一隅的柜子，因为这样还被老师骂了好几次呢！	每天下课，都可以见到我们班有人在教室后面靠近边边的地方在打球，至于是打什球呢？答案是每天都不一样咧。甚至还有人天兵到爬进教室一隅的柜子，因为这样还被老师骂了好几次呢！
如果在一天可以选择自己要当什么，我要当铁柜，如果有一天可以去制铁工厂，我要亲自为自己和家人个打造一个铁柜，我爱它，它可以放很多很多的东西，他可以当作生气发泄的对相，它也可以当作家中的一个完美无缺的装饰品。	如果在一天可以选择自己要当什么，我要当铁柜，如果有一天可以去制铁工厂，我要亲自为自己和家人个打造一个铁柜，我爱它，它可以放很多很多的东西，他可以当作生气发泄的对象，它也可以当作家中的一个完美无缺的装饰品。
在这快两年的国中生活中，与我们拥有最多回忆、最熟悉的地方，莫过于我们的教室了，不论是师长的教诲，或是同学的嬉笑打闹，都在教室中发生，对我而言，最珍贵的地方非教室后面的怖告栏莫属了！	在这快两年的国中生活中，与我们拥有最多回忆、最熟悉的地方，莫过于我们的教室了，不论是师长的教诲，或是同学的嬉笑打闹，都在教室中发生，对我而言，最珍贵的地方非教室后面的布告栏莫属了！
在我们的教室后方，有一个已残破不堪的怖告栏，刚升上八年级时，有一个教室怖置比赛，当时它还只是一片片的木板，渐渐的，它咖啡色的外表上，多了一件件光鲜亮丽的新衣，不论是亮红色的火车或是朝气洋溢的向日搜，都是大家辛苦一刀一刀剪下的结晶。	在我们的教室后方，有一个已残破不堪的布告栏，刚升上八年级时，有一个教室布置比赛，当时它还只是一片片的木板，渐渐的，它咖啡色的外表上，多了一件件光鲜亮丽的新衣，不论是亮红色的火车或是朝气洋溢的向日葵，都是大家辛苦一刀一刀剪下的结晶。
中午时，全班会有纸棒球大赛，马上拿起纸球和扫把，每天的比赛都会十分的精彩。一下是强打者被三振，一下是有人打全叠打，一下是主任把纸球没收了，一定会有各式各样的事发生，每一天都在教室后过著精彩有趣的时候。	中午时，全班会有纸棒球大赛，马上拿起纸球和扫把，每天的比赛都会十分的精彩。一下是强打者被三振，一下是有人打全垒打，一下是主任把纸球没收了，一定会有各式各样的事发生，每一天都在教室后过著精彩有趣的时候。
教室空间看似陕小，却是同学们最方便的娱乐空间。	教室空间看似狭小，却是同学们最方便的娱乐空间。
当独自走向前，看到的永远是打球的身影，同学的涂讶，让这个教室感觉更亲切，虽然时时会有不愉快，但只要在教室里，大家的情感都不会变质吧！	当独自走向前，看到的永远是打球的身影，同学的涂鸦，让这个教室感觉更亲切，虽然时时会有不愉快，但只要在教室里，大家的情感都不会变质吧！
在教室的黑板上，记录著老师在上头传答给学生的智慧。	在教室的黑板上，记录著老师在上头传达给学生的智慧。
说到教室一隅，我就会想到我们班的公布栏，因为在我自班不论是下课、上课有些同学也会在后面打球，有的时候，会把整个布告栏给打得乱七八糟。因此我们班的整洁至序不是第二十三就是第二十二，我到现在还没看过我们班的名次有十开头的。希望我们班的人可以不要再把教室乱搞一通了。	说到教室一隅，我就会想到我们班的公布栏，因为在我自班不论是下课、上课有些同学也会缤后面打球，有的时候，会把整个布告栏给打得乱七八糟。因此我们班的整洁秩序不是第二十三就是第二十二，我到现在还没看过我们班的名次有十开头的。希望我们班的人可以不要再把教室乱搞一通了。
当我一蹋进教室门口时，发现了不少有趣的事情，平常抄著重要事项、联络薄及缺交作业名单的黑板，出现了画蛇添足的图鸦和同学骂师长的不雅文字，仔细一看地面还有多的数不完的垃圾，甚至连教科书本都看得到。	当我一踏进教室门口时，发现了不少有趣的事情，平常抄著重要事项、联络簿及缺交作业名单的黑板，出现了画蛇添足的涂鸦和同学骂师长的不雅文字，仔细一看地面还有多的数不完的垃圾，甚至连教科书本都看得到。
下课时还会发生一堆你异想不到的事情，例如：同学们有时候在后面打棒球，或著有时在后面打排球。你还可以看到，看漫画书的，玩手机的，不过通常这些人会被生教组长的人抓到训导处罚站，至于伟禁品呢？当然是交给训导处保管啦！	下课时还会发生一堆你意想不到的事情，例如：同学们有时候在后面打棒球，或者有时在后面打排球。你还可以看到，看漫画书的，玩手机的，不过通常这些人会被生教组长的人抓到训导处罚站，至于违禁品呢？当然是交给训导处保管啦！
教室里常常发生一些事情，只要你停下脚步，认真听一听、看一看，认真关察你会发现一堆一想不到的事情。	教室里常常发生一些事情，只要你停下脚步，认真听一听、看一看，认真观察你会发现一堆意想不到的事情。
从八年级上学期一开始，我们刚进来新教室时，就少了几张桌椅，所以老师就请公友伯伯拿一些之前学长姐用过的给我们。	从八年级上学期一开始，我们刚进来新教室时，就少了几张桌椅，所以老师就请工友伯伯拿一些之前学长姐用过的给我们。
